feature_representation,split,n_samples,accuracy,macro_precision,macro_recall,macro_f1
raw,same_session,350,0.88,0.931013431013431,0.88,0.8783348956020764
raw,cross_session,700,0.7871428571428571,0.7868413088791246,0.7871428571428571,0.7792600008866045
invariant,same_session,350,0.8142857142857143,0.8177581919804312,0.8142857142857143,0.8101320243761378
invariant,cross_session,700,0.8428571428571429,0.8399680943063169,0.8428571428571427,0.8387789544975656
