feature_representation,same_session_accuracy,same_session_macro_f1,cross_session_accuracy,cross_session_macro_f1,generalization_gap_accuracy,generalization_gap_macro_f1
raw,0.88,0.8783348956020764,0.7871428571428571,0.7792600008866045,0.09285714285714286,0.09907489471547193
invariant,0.8142857142857143,0.8101320243761378,0.8428571428571429,0.8387789544975656,-0.02857142857142858,-0.028646930121427716
